Pill,GCMS Area,Concentration (mg/mL),Powdered Pill in Sample (g),Initial Pill Weight,Estimated Estradiol Valerate in Pill (mg),Confidence Interval
1,6761580.64,0.103177716856899,0.0977,0.1445,1.52694086050802,0.052061412487206
2,6107657.14,0.093708528199764,0.1093,0.1395,1.1971723695591,0.044925892040256
3,6153476.16,0.094372013981304,0.0951,0.1313,1.30907265397221,0.048598948475289
4,6179034.76,0.094742117220004,0.1017,0.136,1.27195564985422,0.047071779744346
5,6975218.59,0.106271317335967,0.1207,0.1394,1.22866595105909,0.040653521126761
6,7355210.59,0.111773820207025,0.1204,0.1355,1.26107217432547,0.039614617940199
7,8286964.05,0.125266146594865,0.1069,0.1288,1.51010524846675,0.042411225444341
8,10433601.48,0.156350692116074,0.1286,0.1428,1.74430877310977,0.039086780715397
9,7987559.16,0.120930591459931,0.1242,0.1409,1.37337086419642,0.039933011272142
10,7206660.82,0.109622734037,0.1267,0.1361,1.17813575512775,0.037811523283347
